Category: All categories

Week,spinal cord injury: (United States)
2023-02-26,79
2023-03-05,75
2023-03-12,78
2023-03-19,81
2023-03-26,80
2023-04-02,85
2023-04-09,85
2023-04-16,78
2023-04-23,83
2023-04-30,72
2023-05-07,72
2023-05-14,72
2023-05-21,66
2023-05-28,71
2023-06-04,68
2023-06-11,70
2023-06-18,60
2023-06-25,76
2023-07-02,70
2023-07-09,86
2023-07-16,70
2023-07-23,74
2023-07-30,70
2023-08-06,62
2023-08-13,58
2023-08-20,68
2023-08-27,73
2023-09-03,74
2023-09-10,77
2023-09-17,84
2023-09-24,77
2023-10-01,79
2023-10-08,81
2023-10-15,85
2023-10-22,85
2023-10-29,84
2023-11-05,91
2023-11-12,100
2023-11-19,71
2023-11-26,86
2023-12-03,78
2023-12-10,67
2023-12-17,50
2023-12-24,48
2023-12-31,58
2024-01-07,67
2024-01-14,63
2024-01-21,79
2024-01-28,75
2024-02-04,81
2024-02-11,87
2024-02-18,76
2024-02-25,93
2024-03-03,76
2024-03-10,85
2024-03-17,80
2024-03-24,84
2024-03-31,87
2024-04-07,81
2024-04-14,86
2024-04-21,84
2024-04-28,75
2024-05-05,70
2024-05-12,62
2024-05-19,61
2024-05-26,61
2024-06-02,67
2024-06-09,68
2024-06-16,69
2024-06-23,76
2024-06-30,67
2024-07-07,81
2024-07-14,74
2024-07-21,75
2024-07-28,67
2024-08-04,63
2024-08-11,67
2024-08-18,70
2024-08-25,68
2024-09-01,76
2024-09-08,77
2024-09-15,76
2024-09-22,79
2024-09-29,74
2024-10-06,83
2024-10-13,81
2024-10-20,84
2024-10-27,79
2024-11-03,79
2024-11-10,92
2024-11-17,92
2024-11-24,69
